Rank,Artist,Album,Year,Spotify,Description,wiki,Duration,Minutes,Seconds,Total Seconds,Label,Sub Metal Genre,Rating,Tracks,Rolling Stone Rating,avg. BPM,max BPM,min BPM,avg. ENERGY,max ENERGY,min ENERGY,avg. VALENCE,max VALENCE,min VALENCE,avg. POP.,max POP,min POP,Max BPM Track,Min BPM Track,Max Energy Track,Min Energy Track,Max Valence Track,Min Valence Track,Max Pop Track,Min Pop Track
31,Slayer,Seasons in the Abyss,1990,https://open.spotify.com/album/416nVgqae48Dw0EjD6N4EU,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/slayer-seasons-in-the-abyss-1990-w487121,https://en.wikipedia.org/wiki/Seasons_in_the_Abyss,42:30:00,42,30,2550,Def American,Speed Metal,3.5,10,Rolling Stone,120,164,99,99,100,97,21,37,5,38,47,31,Temptation,War Ensemble,Spirit In Black,Seasons In The Abyss,Blood Red,Spirit In Black,Seasons In The Abyss,Temptation
32,Black Sabbath,Sabotage,1975,https://open.spotify.com/album/0Plh7fxBmx1Z2HrnVOoGkw,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-sabotage-1975-w486955,https://en.wikipedia.org/wiki/Sabotage_(Black_Sabbath_album),43:38:00,43,38,2618,Vertigo,Heavy Metal,4,8,Rolling Stone,131,178,80,53,76,4,38,59,17,34,43,29,Symptom of the Universe,Supertzar,Hole in the Sky,Don't Start (Too Late),The Thrill of it All,The Writ,Symptom of the Universe,Supertzar
33,Megadeth,Countdown to Extinction,1992,https://open.spotify.com/album/1w9opfGdFtR3ulNHxnnO1e,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/megadeth-countdown-to-extinction-1992-w487033,https://en.wikipedia.org/wiki/Countdown_to_Extinction,48:27:00,48,27,2907,Capitol,Thrash Metal,2.5,11,Rolling Stone,132,185,70,92,97,86,52,71,30,43,65,36,High Speed Dirt,Sweating Bullets,Architecture Of Aggression,Sweating Bullets,This Was My Life,Foreclosure Of A Dream,Symphony Of Destruction,Psychotron
34,Black Sabbath,Master of Reality,1971,https://open.spotify.com/album/7pGb2cOGVz6vLyaZaKOQ7D,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-master-of-reality-1971-w487128,https://en.wikipedia.org/wiki/Master_of_Reality,34:24:00,34,24,2064,Vertigo,Heavy Metal,4,8,Rolling Stone,112,150,77,43,68,2,59,96,36,40,54,1,Children of the Grave,Into the Void,After Forever,Solitude,Embryo,Children of the Grave,Children of the Grave,Embryo
35,Metallica,Kill 'Em All,1983,https://open.spotify.com/album/0vNBQof86Lv5gLuf26ML7o,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/metallica-kill-em-all-1983-w487051,https://en.wikipedia.org/wiki/Kill_%27Em_All,51:16:00,51,16,3076,Megaforce,Thrash Metal,3,10,Rolling Stone,155,203,97,94,97,89,30,66,11,49,59,44,The Four Horsemen,No Remorse,Hit The Lights,(Anesthesia)--Pulling Teeth,Jump In The Fire,Phantom Lord,Seek & Destroy,Phantom Lord
36,Van Halen,Women and Children First,1980,https://open.spotify.com/album/7fRy246Xzz3gez6stjTgKk,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/van-halen-women-and-children-first-1980-w487133,https://en.wikipedia.org/wiki/Women_and_Children_First,33:31:00,33,31,2011,Warner Bros,Hard Rock,2.5,10,Rolling Stone,128,167,100,84,97,42,40,74,16,36,49,28,Fools,Take Your Whiskey Home,Fools,Could This Be Magic?,And The Cradle Will Rock...,Romeo Delight,Everybody Wants Some!!,Tora! Tora!
37,Black Sabbath,Heaven and Hell,1980,https://open.spotify.com/album/1Wk2g7TV0adbUZ53ruvIdL,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-heaven-and-hell-1980-w486952,https://en.wikipedia.org/wiki/Heaven_and_Hell_(Black_Sabbath_album),40:04:00,40,4,2404,Vertigo,Heavy Metal,4,8,Rolling Stone,128,191,91,82,95,67,49,78,9,37,52,29,Neon Knights,Heaven and Hell,Neon Knights,Heaven and Hell,Lady Evil,Die Young,Heaven and Hell,Walk Away
38,Iron Maiden,Powerslave,1984,https://open.spotify.com/album/081qKmiSpL1orcddjYlSGE,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/iron-maiden-powerslave-1984-w487002?,https://en.wikipedia.org/wiki/Powerslave,50:33:00,50,33,3033,EMI,New Wave of British Heavy Metal,4.5,8,AllMusic,120,156,80,97,99,94,42,61,11,41,53,33,Losfer Words (Big 'Orra),The Duelists,Losfer Words (Big 'Orra),Rime Of The Ancient Mariner,The Duelists,Rime Of The Ancient Mariner,2 Minutes To Midnight,Back In The Village
39,Pantera,Far Beyond Driven,1994,https://open.spotify.com/album/773KEsh2eaBWjjj41aU1ca,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/pantera-far-beyond-driven-1994-w487081,https://en.wikipedia.org/wiki/Far_Beyond_Driven,56:23:00,56,23,3383,EastWest,Groove Metal,4,12,Rolling Stone,129,172,96,92,99,39,38,67,12,38,45,33,Planet Caravan,5 Minutes Alone,Strength Beyond Strength,Planet Caravan,I'm Broken,Use My Third Arm,5 Minutes Alone,Use My Third Arm
40,Mayhem,De Mysteriis Dom Sathanas,1994,https://open.spotify.com/album/4O9K2VUsGve0wJl49AG0Mu,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mayhem-de-mysteriis-dom-sathanas-1994-w487030,https://en.wikipedia.org/wiki/De_Mysteriis_Dom_Sathanas,46:01:00,46,1,2761,Deathlike Silence,Black Metal,4,8,AllMusic,148,183,93,93,98,82,8,12,4,31,41,26,Cursed in Eternity,Freezing Moon,Buried by Time and Dust,De Mysteriis Dom Sathanas,Funeral Fog,From the Dark Past,Freezing Moon,Buried by Time and Dust
